abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
6.2%,"16-Bit Double Pale Ale is the next generation of pale ale from Tallgrass. For fans of 8-Bit Pale Ale ready to advance to a new realm, 16-Bit DPA is a one-pint finishing move that delivers a sweeping sequence of crisp aromas, light body, bright hoppiness and striking citrus flavors. Best enjoyed in multi-player mode.",,Tallgrass 16-Bit DPA,24,American Pale Ale,Tallgrass Brewing Company,186,55,/,91,77,KANSAS,95,
,"This dark brown, hoppy ale takes the IPA style into unfamiliar depths of color. Amarillo hops provide the hoppy flavors and aromas of an India Pale Ale complemented by subtle chocolaty roasted notes from the dark malts. The malt bill is very close to that for Copperhead but with the addition of some dark roasted malt for color and flavor. The Amarillo hops are a potent American variety with a distinctive flavor and aroma.",/upload/post.asp?m=1&Id=26548,Free State Stormwatch Dark Ale,23,Black IPA,Free State Brewing Company,,213,3.64/5.0,91,37,KANSAS,78,3.57
,"Our award winning coffee beer! We brew this robust style porter with coffee we roast at the brewery. The roasted coffee compliments the dark roasted malts we use in this brew. English malts and hops round out the balance. Mmm, the perfect breakfast beer.",/upload/post.asp?m=1&Id=34623,Blind Tiger Java Porter,22,Porter,Blind Tiger,33,,/,92,62,KANSAS,93,
,"Dominated with caramel, coffee and chocolate flavors, this ""Liquid Bread"" is a meal in itself.  Silver Medal 2005 GABF - Oatmeal Stout category.",,Liquid Bread Oatmeal Stout,19,Sweet Stout,Lb. (Liquid Bread) Brewing Co,,180,/,92,53,KANSAS,89,
,"Oktoberfest is one of the most celebrated traditions in German culture. And though Kansas may be a long way from Munich, we share the sentiment. Our Octoberfest was only the second specialty beer we ever brewed, and the original batch was first tasted back in 1989.

To this day, it continues to be one of our most popular brews, with folks seeking it out both at the brewpub and on the shelves of their local liquor stores.",,Free State Octoberfest,14,Oktoberfest/Märzen,Free State Brewing Company,20,,/,93,80,KANSAS,100,
10%,"Rich roasty malts, earthy English hops, Sumatran coffee, and nutty cocoa nibs blend harmoniously to create this approachable full-bodied beast we call Fuzzy Knuckles. Think woolly mammoths, and Bob Vila, and that barista that makes the best lattes.",,Defiance Fuzzy Knuckles,16,Imperial Stout,Defiance Brewing Co.,300,55,3.72/5.0,93,22,KANSAS,45,3.61
,"We took our highly popular winter seasonal, Vanilla Bean Buffalo Sweat, aged it in bourbon barrels and enhanced it with crushed cinnamon sticks during fermentation.",,Tallgrass Vanilla Bean Buffalo Sweat - Bourbon Barrel & Cinnamon,13,Sweet Stout,Tallgrass Brewing Company,20,,/,94,63,KANSAS,94,
,"Bright golden, with citrus flavor and an aroma that combines notes of grapefruit, orange zest and a touch of the tropics. Like a warm ray of sunshine on a cold winter’s day.",,Free State Winterfest IPA,18,India Pale Ale (IPA),Free State Brewing Company,60,,/,93,70,KANSAS,90,
9.5%,"To create Wooden Rooster, we took Velvet Rooster, our Belgian-style Tripel, and aged it in rye whiskey barrels, giving it an oaky vanilla finish.",,Tallgrass Wooden Rooster,12,Abbey Tripel,Tallgrass Brewing Company,285,34,/,94,58,KANSAS,97,
,"A very rich, dark and full-bodied brew. Complex, slight licorice and roasted barley finish. Dark tan head.",/upload/post.asp?m=1&Id=1815,Blind Tiger Russian Imperial Stout,17,Imperial Stout,Blind Tiger,,,3.71/5.0,93,20,KANSAS,43,3.59
10.5%,"It looks like Buffalo Sweat. It has the same dense, foamy head — though it’s a little darker — and it leaves the same sticky lacing on the glass. The aroma is spot-on. Coffee. Chocolate. Roasted barley, hints of toffee and a little bit of booze. Take that first sip. The familiar coffee and chocolate flavors are there, but they’re bigger, bolder and more complex. The body is thick and robust, with a velvety texture and a bitter, dry and warming finish. There’s no residual sweetness like that of Buffalo Sweat – because there’s no lactose in this brew – but an earthy, herbal hop character that bounces beautifully off the dark roasted malts. It’s the perfect silky-smooth stout to get you through the cold months ahead. One Buffalo to rule them all.",,Tallgrass King Buffalo,11,Imperial Stout,Tallgrass Brewing Company,315,,3.72/5.0,95,36,KANSAS,49,3.65
,"First the name - Hop Jacks (or Hop Backs as they are also called) are pieces of traditional brewing equipment that are used to add fresh hop flavors and aromas to the hot wort as it is transferred from the brew kettle to the heat exchanger. Fresh hop flowers would be placed in the Hop Jack for the very freshest hop character. Though hop jacks are still in use, they are not in use here. However, the results achieved with this beer are similar and represent the kind of hop character that is achieved using a Hop Jack.",/upload/post.asp?m=1&Id=2933,Free State Hop Jack Ale,21,American Pale Ale,Free State Brewing Company,,,3.61/5.0,92,32,KANSAS,95,3.54
6.8%,"This beer was known as Area 51 IPA during development. Ethos is our new West Coast style IPA...double dry-hopped using 6 different hop varietals. Juicy, citrusy, dank.",,Tallgrass Ethos IPA,10,India Pale Ale (IPA),Tallgrass Brewing Company,204,110,/,95,268,KANSAS,94,
,Big RICC: Russian Imperial Stout with Coffee and Chocolate,,Tallgrass Big Ricc,9,Imperial Stout,Tallgrass Brewing Company,65,,/,95,77,KANSAS,50,
8%,"Inspired by a Belgian beer that itself was inspired by American craft brewers and their propensity for hoppy beers, this Belgian Holiday IPA illustrates the ever-evolving brewing landscape. This beer starts with a generous portion of pilsner malt augmented by an addition of cane sugar to the kettle. Judicious amounts of Simcoe, Centennial, Sterling, Amarillo, Chinook, and Columbus hops contribute to the uniquely American citrus and pine characteristics of this international brew. The Belgian yeast strain adds fruity and earthy overtones that meld harmoniously with the complex hop bill. The Bottom Line- A medium bodied, hoppy Belgian ale hybrid: part IPA, part Belgian Trippel. A Belgian for hopheads.",/upload/post.asp?m=1&Id=119830,Free State Belgian Muse IPA,20,India Pale Ale (IPA),Free State Brewing Company,240,48,3.68/5.0,92,22,KANSAS,83,3.48
8.4%,"Honoring our favorite local blacksmith, this flavorful Stout is a selected mix of ten malts and five hop varieties. Imperial Stout was a key British export in the Baltic trade that elevated art and industry in Russia and England during the 18th Century. Celebrate craftsmanship and raise a glass to broader flavor horizons.",,Free State Ironman Imperial Stout,8,Imperial Stout,Free State Brewing Company,252,66,/,95,140,KANSAS,49,
,"Zombie Monkie is a dark, rich porter, carefully brewed for the post-apocalyptic world to come. Crafted with lots of roasty dark chocolate and specialty malts, then inoculated with enough hops to add a floral/citrus character in the finish. It’s hardy, complex, and interesting, because you might be drinking it for a long time.",,Tallgrass Zombie Monkie,7,Porter,Tallgrass Brewing Company,35,,/,95,176,KANSAS,98,
,"2009 GABF Gold medal winner, American-style Stout category.",/upload/post.asp?m=1&Id=110799,Liquid Bread Liberty Stout,6,Stout,Lb. (Liquid Bread) Brewing Co,,177,3.86/5.0,95,14,KANSAS,97,3.67
7.9%,This Baltic-Style Porter marries the chocolate character of an English Porter with the strength more typical of an Imperial Stout. The lager yeast employed lends a smoothness and neutrality not typically seen in a Porter. Named for the Battle of Black Jack between John Brown’s men and the pro-slavery forces of Henry C. Pate in a Black Jack oak grove near Baldwin City in 1856.,/upload/post.asp?m=1&Id=44740,Free State Black Jack Porter,5,Imperial Porter,Free State Brewing Company,237,30,/,95,50,KANSAS,62,
,"This dark, strong IPA explodes with flavors borrowed from Free State favorites, C3 IPA and Stormwatch Ale. Columbus, Centennial, and Citra hops contribute the intense hop aroma and flavor while Carafa malt provides the roasty, chocolate notes. A big beer with big flavor.",/upload/post.asp?m=1&Id=133855,Free State C4 Imperial Black IPA,4,Black IPA,Free State Brewing Company,,85,3.86/5.0,96,15,KANSAS,92,3.67
9.2%,"This boldly hopped ale will take you to new heights of hoppiness. Copious amounts of Chinook, Columbus, and Cascade hops combine to evoke far off places with the scents and flavors of tropical fruit, pine needles, flowers and a hint of freshly mown grass. A choice malt bill lifts the hops, providing balance and keeping this beer on course.",,Free State Cloud Hopper Imperial IPA,3,Imperial IPA,Free State Brewing Company,276,82,/,98,113,KANSAS,96,
,"Like great friendships, barleywine is meant to evolve over time. From the first brash encounters, to the mellow complexity that age will bring, this is a beer to be savored early and then revisited with the passage of time. Share our tribute to friendships new and old.",,Free State Old Backus Barleywine,2,Barley Wine,Free State Brewing Company,55,,/,99,252,KANSAS,99,
9.5%,"This very special beer was brewed as a Double Strength Imperial Stout. Imperial Stouts being very big beers to begin with, that puts this at the strength of a barleywine. The Original Gravity is 27.5 P/1118, then the hopping level is very hard to define, though there are enough hops to achieve 100 IBUs in a smaller beer, this beer still has a distinct sweetness due to a high percentage of unfermentable sugars. After fermentation, this beer was aged in old whiskey barrels from the McCormack’s bottling plant in Weston, MO, hence the name Owd Mac’s (owd being a British regional colloquialism for old).",,Free State Owd Macs Imperial Stout,1,Imperial Stout,Free State Brewing Company,285,,/,100,262,KANSAS,98,
5.3%,,,Toppling Goliath Xhops Series - Pink,24,American Pale Ale,Toppling Goliath,159,60,4.01/5.0,98,14,IOWA,99,3.78
5.8%,"This full force blend of Galaxy and Warrior hops packs a bitter punch. Big body, bold flavor, with a boost of citrus rind and just a kick of spiciness in the finish. Intergalactic Warrior is part of the TG Hop Patrol Series of aggressively hopped IPAs that showcase individual hop varieties and complex blends.",,Toppling Goliath Intergalactic Warrior IPA,23,India Pale Ale (IPA),Toppling Goliath,174,60,/,98,70,IOWA,99,
5.25%,"Through work, we we change. We stress, we fret, we make the mistakes that let us perfect. Ultimately, we evolve. It begins as it always does; A primordial soup of hops, grains, and water, but what transpires hopefully becomes the next link in a chain. A means to help us define where we are, where we’ve been, and where we’re going.",/upload/post.asp?m=1&Id=215353,Toppling Goliath Thresher IPA,22,India Pale Ale (IPA),Toppling Goliath,158,50,/,98,53,IOWA,99,
7.2%,"This spectacularly golden, medium bodied IPA was crafted from a winning combination of Golden Promise malt and Nugget hops.",,Toppling Goliath Golden Nugget IPA,21,India Pale Ale (IPA),Toppling Goliath,216,56,/,98,495,IOWA,99,
,,,Toppling Goliath XHops Series - Teal,20,American Pale Ale,Toppling Goliath,,,/,98,42,IOWA,99,
,,,Toppling Goliath / Cycle Chainsmoker - Barrel Aged ,19,Imperial Porter,Toppling Goliath,,411,4.04/5.0,98,14,IOWA,90,3.81
,"Previously known as Millennium Falcon, this seasonal pale ale was crafted with a perfect mixture of Millennium hops and Falconer’s Flight blend. Inviting orange aroma and hints of lemon flavor in this medium-bodied beauty will make you want to drink yours at light speed!",,Toppling Goliath Light Speed Pale Ale,18,American Pale Ale,Toppling Goliath,,174,/,98,191,IOWA,99,
,"First in our limited Hop Patrol series of aggressively hopped and auspicious ales, HOPSMACK! is here to rescue your palate. Giant aromas of pineapple and tropical fruit jump from this enticingly complex double IPA. True to its name, this brew delivers a heavy smack of dry hops and a double dose of bitterness in the finish.",,Toppling Goliath Hopsmack!,17,Imperial IPA,Toppling Goliath,175,,/,98,80,IOWA,95,
,XHops Red Redone,,Toppling Goliath Sol Hunter Pale Ale,16,American Pale Ale,Toppling Goliath,,195,/,99,115,IOWA,100,
,"Deep in the labs at TG, through the vaulted door, down the steps, and past the room labeled ""Beware the Leopard"" lies an experiment forgotten. For over a year it remained dormant, calculating the precise moment of return to unleash the ultimate blend of hops. Finally, escape! This unbridled force descends upon the unsuspecting Masses. Can you handle it?",,Toppling Goliath XHops Series - Gold,15,American Pale Ale,Toppling Goliath,,,/,99,64,IOWA,100,
,Ipa with New Zealand Nelson hops.,,Toppling Goliath ZeeLander,14,India Pale Ale (IPA),Toppling Goliath,80,,/,99,208,IOWA,99,
,Collaboration with Tree House Brewing Company,,Toppling Goliath / Tree House David,13,Imperial IPA,Toppling Goliath,,258,4.03/5.0,99,31,IOWA,98,3.91
5.8%,"pseudoSue double dry hopped with Citra. ""Double Citra"" is stamped on the neck of the bottle.",,Toppling Goliath pseudoSue - Citra Double Dry Hopped,12,American Pale Ale,Toppling Goliath,174,,/,99,132,IOWA,100,
